class,type,802.11u Mapping
shop,dental_supplies,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,motorcycle,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,bicycle,MERCANTILE - RETAIL STORE
shop,lighting,MERCANTILE - RETAIL STORE
shop,alcohol,MERCANTILE - RETAIL STORE
shop,variety_store,MERCANTILE - RETAIL STORE
shop,garden_centre,MERCANTILE - RETAIL STORE
shop,trade,MERCANTILE - RETAIL STORE
shop,doityourself,MERCANTILE - RETAIL STORE
shop,radiotechnics,MERCANTILE - RETAIL STORE
shop,art,MERCANTILE - RETAIL STORE
shop,motorcycle_repair,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,stationery,MERCANTILE - RETAIL STORE
shop,tyres,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,boutique,MERCANTILE - RETAIL STORE
shop,beverages,MERCANTILE - RETAIL STORE
shop,health_food,MERCANTILE - RETAIL STORE
shop,toys,MERCANTILE - RETAIL STORE
shop,sports,MERCANTILE - RETAIL STORE
shop,bakery,ASSEMBLY - RESTAURANT
shop,gift,MERCANTILE - RETAIL STORE
shop,wholesale,MERCANTILE - RETAIL STORE
shop,caravan,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,electronics,MERCANTILE - RETAIL STORE
shop,copyshop,BUSINESS - PROFESSIONAL OFFICE
shop,e-cigarette,MERCANTILE - RETAIL STORE
shop,storage_rental,STORAGE - UNSPECIFIED STORAGE
shop,erotic,MERCANTILE - RETAIL STORE
shop,antiques,MERCANTILE - RETAIL STORE
shop,vacant,MERCANTILE - UNSPECIFIED MERCANTILE
shop,cosmetics,MERCANTILE - RETAIL STORE
shop,optician,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,charity,MERCANTILE - RETAIL STORE
shop,books,MERCANTILE - RETAIL STORE
shop,kitchen,MERCANTILE - RETAIL STORE
shop,online,MERCANTILE - RETAIL STORE
shop,fuel,MERCANTILE - GAS STATION
shop,repair,BUSINESS - PROFESSIONAL OFFICE
shop,paint,MERCANTILE - RETAIL STORE
shop,hardware,MERCANTILE - RETAIL STORE
shop,craft,MERCANTILE - RETAIL STORE
shop,watches,MERCANTILE - RETAIL STORE
shop,florist,MERCANTILE - RETAIL STORE
shop,clothes;_wedding,MERCANTILE - RETAIL STORE
shop,hairdresser_supply,MERCANTILE - RETAIL STORE
shop,weapons,MERCANTILE - RETAIL STORE
shop,pastry,MERCANTILE - RETAIL STORE
shop,pawnbroker,MERCANTILE - RETAIL STORE
highway,primary,OUTDOOR - TRAFFIC CONTROL
highway,secondary,OUTDOOR - TRAFFIC CONTROL
highway,trunk,OUTDOOR - TRAFFIC CONTROL
highway,service,OUTDOOR - TRAFFIC CONTROL
highway,motorway,OUTDOOR - TRAFFIC CONTROL
highway,bus_stop,OUTDOOR - BUS STOP
highway,pedestrian,OUTDOOR - TRAFFIC CONTROL
highway,primary_link,OUTDOOR - TRAFFIC CONTROL
highway,unclassified,OUTDOOR - TRAFFIC CONTROL
highway,path,OUTDOOR - CITY PARK
highway,track,OUTDOOR - CITY PARK
highway,motorway_junction,OUTDOOR - TRAFFIC CONTROL
highway,services,OUTDOOR - REST AREA
highway,trunk_link,OUTDOOR - TRAFFIC CONTROL
highway,steps,OUTDOOR - CITY PARK
highway,turning_loop,OUTDOOR - TRAFFIC CONTROL
highway,motorway_link,OUTDOOR - TRAFFIC CONTROL
highway,toll_gantry,OUTDOOR - TRAFFIC CONTROL
tourism,attraction,ASSEMBLY - AMUSEMENT PARK
tourism,hotel,RESIDENTIAL - HOTEL OR MOTEL
tourism,artwork,ASSEMBLY - MUSEUM
tourism,motel,RESIDENTIAL - HOTEL OR MOTEL
tourism,museum,ASSEMBLY - MUSEUM
tourism,viewpoint,OUTDOOR - CITY PARK
tourism,picnic_site,OUTDOOR - CITY PARK
tourism,gallery,ASSEMBLY - MUSEUM
tourism,apartment,RESIDENTIAL - PRIVATE RESIDENCE
tourism,theme_park,ASSEMBLY - AMUSEMENT PARK
tourism,camp_site,OUTDOOR - CITY PARK
tourism,zoo,ASSEMBLY - ZOO OR AQUARIUM
tourism,aquarium,ASSEMBLY - ZOO OR AQUARIUM
tourism,caravan_site,OUTDOOR - CITY PARK
historic,factory,ASSEMBLY - MUSEUM
historic,district,ASSEMBLY - MUSEUM
historic,building,ASSEMBLY - MUSEUM
historic,park,ASSEMBLY - MUSEUM
historic,maritime,ASSEMBLY - MUSEUM
historic,memorial,ASSEMBLY - MUSEUM
historic,cemetery,ASSEMBLY - MUSEUM
